genome,strain_name,name,species,fromtype,wgs,isolation_source
GCA_002399375.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHDN01,mud
GCA_002399125.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHDC01,mud
GCA_002398765.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHAU01,mud
GCA_002398245.1,NA,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,DHCO01,mud
GCA_002397875.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHBO01,mud
GCA_002397235.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DGZW01,mud
GCA_002397045.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DGZI01,mud
GCA_002392135.1,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,DGGJ01,wood
GCA_002417945.1,NA,Lactobacillaceae bacterium UBA5810 (firmicutes),Lactobacillaceae bacterium UBA5810,,DIDC01,cassava fermentation tank
GCA_002417895.1,NA,Lactobacillus sp. UBA5813 (firmicutes),Lactobacillus sp. UBA5813,,DICZ01,cassava fermentation tank
GCA_002417865.1,NA,Lactobacillus sp. UBA5814 (firmicutes),Lactobacillus sp. UBA5814,,DICY01,cassava fermentation tank
GCA_002417825.1,NA,Lactobacillus sp. UBA5815 (firmicutes),Lactobacillus sp. UBA5815,,DICX01,cassava fermentation tank
GCA_002416225.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DICK01,metal/plastic
GCA_002410285.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHRH01,mud
GCA_002409205.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHUP01,mud
GCA_002408025.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DHQD01,mud
GCA_002406785.1,P3,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,NXEX01,commercial probiotic
GCA_002406765.1,B2,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NXET01,commercial probiotic
GCA_002425565.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DIMM01,metal
GCA_002425485.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DIMI01,wood
GCA_002424055.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DIPK01,mud
GCA_002423975.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DIOP01,mud
GCA_002420925.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DIIZ01,metal
GCA_002420825.1,NA,Weissella cibaria (firmicutes),Weissella cibaria,,DIIW01,metal
GCA_002418135.1,NA,Lactobacillus sp. UBA5800 (firmicutes),Lactobacillus sp. UBA5800,,DIDM01,cassava fermentation tank
GCA_002418095.1,NA,Lactobacillaceae bacterium UBA5802 (firmicutes),Lactobacillaceae bacterium UBA5802,,DIDK01,cassava fermentation tank
GCA_002418055.1,NA,Lactobacillus sp. UBA5804 (firmicutes),Lactobacillus sp. UBA5804,,DIDI01,cassava fermentation tank
GCA_002418005.1,NA,Lactobacillaceae bacterium UBA5807 (firmicutes),Lactobacillaceae bacterium UBA5807,,DIDF01,cassava fermentation tank
GCA_002737965.1,FlyG11.1.6,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGQ01,missing
GCA_002737925.1,FlyG9.2.5,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGS01,missing
GCA_002737905.1,FlyG11.2.6,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGT01,missing
GCA_002737835.1,FlyG10.1.5,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGN01,missing
GCA_002737775.1,FlyG8.1.2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGL01,missing
GCA_002490955.1,NA,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,DKVA01,rat gut
GCA_002483535.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DLIB01,metal
GCA_002453615.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DKHF01,metal/plastic
GCA_002427255.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DIQE01,mud
GCA_002426715.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DIRV01,mud
GCA_003045705.1,AS-9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Fruits and Vegetables
GCA_003045685.1,AS-7,Lactobacillus paraplantarum (firmicutes),Lactobacillus paraplantarum,,,Fruits and Vegetables
GCA_003045665.1,AS-8,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Fruits and Vegetables
GCA_003045645.1,AS-10,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Fruits and Vegetables
GCA_002950865.1,JBD401,Lactobacillus amylovorus (firmicutes),Lactobacillus amylovorus,,,traditional youghurt
GCA_002906095.1,SRCM101258,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,NKCZ01,food
GCA_002803395.1,DPPM,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,PHNP01,feces
GCA_002738065.1,FlyG7.1.6,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGJ01,missing
GCA_002738045.1,FlyG10.1.9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGO01,missing
GCA_002737975.1,FlyG11.1.2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGP01,missing
GCA_003352825.1,NRRL B-442,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,assembly from type material,QQWF01,missing
GCA_003347445.1,49,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QBKW01,tropical fruit
GCA_003343585.1,NA,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QAKY01,feces
GCA_003288195.1,WiKim0072,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,kimchi
GCA_003175115.1,LR6,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHY01,feces
GCA_003175085.1,LR7,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHX01,feces
GCA_003175035.1,LR12,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHS01,feces
GCA_003122525.1,CRL1647,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,QFBA01,intestinal tract of an adult worker bee
GCA_003072625.1,WHH1689,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,,Highland barley wine
GCA_003045725.1,AS-6,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Fruits and Vegetables
GCA_003485925.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DNHL01,fermentation
GCA_003484055.1,NA,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,DNDL01,terrestrial
GCA_003482405.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DMZB01,fermentation
GCA_003465085.1,AF11-4-H,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QSAL01,feces
GCA_003454875.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DMSY01,rat gut
GCA_003452595.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DMNV01,Human gut stool
GCA_003451545.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DMFK01,synthetic
GCA_003444995.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DLWD01,rat gut
GCA_003439565.1,OF06-4,Weissella cibaria (firmicutes),Weissella cibaria,,QSVX01,feces
GCA_003433375.1,WiKim33,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,,Baechu-kimchi
GCA_003523685.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DOGE01,wastewater
GCA_003521925.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DPGW01,terrestrial
GCA_003517185.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DPBB01,metagenome
GCA_003513805.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DONQ01,Human gut stool
GCA_003513725.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DOOA01,mouse gut
GCA_003512765.1,NA,Weissella confusa (firmicutes),Weissella confusa,,DOOU01,terrestrial
GCA_003511245.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DOHS01,fermentation
GCA_003503615.1,NA,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,DOBV01,rat gut
GCA_003500925.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DNQW01,fermentation
GCA_003500645.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DNQX01,fermentation
GCA_003542875.1,NA,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,DPJU01,metagenome
GCA_003542855.1,NA,Weissella cibaria (firmicutes),Weissella cibaria,,DPJV01,metagenome
GCA_003539685.1,NA,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,DPOO01,fermentation
GCA_003536195.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DPZP01,mouse gut
GCA_003535895.1,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,DPZH01,metagenome
GCA_003535615.1,NA,Weissella cibaria (firmicutes),Weissella cibaria,,DQAH01,metagenome
GCA_003533255.1,NA,Pediococcus sp. (firmicutes),Pediococcus sp.,,DOEM01,metagenome
GCA_003533085.1,NA,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,DOEN01,metagenome
GCA_003529885.1,NA,Lactobacillus sp. (firmicutes),Lactobacillus sp.,,DPUJ01,gut
GCA_003529125.1,NA,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,DOGJ01,food
GCA_003712525.1,FAM18133,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFQ01,Gruyere
GCA_003712505.1,FAM18168,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFT01,milk
GCA_003712445.1,FAM18129,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFO01,Gruyere
GCA_003712385.1,FAM18119,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFJ01,Gruyere
GCA_003712325.1,FAM18123,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFL01,Gruyere
GCA_003712275.1,FAM18105,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFF01,Gruyere
GCA_003710225.1,DR9,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,Fresh milk
GCA_003666485.1,CD0817,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,healthy adult male gut
GCA_003627255.1,ZFM54,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,healthy infant fecal samples
GCA_003597635.1,ATG-K2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCA_003713005.1,FAM7821,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGM01,semi-hard cheese
GCA_003712965.1,FAM6410,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGL01,cheese
GCA_003712925.1,FAM18126,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFN01,Gruyere
GCA_003712875.1,FAM6165,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGK01,milk
GCA_003712825.1,FAM8374,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGO01,mountain cheese
GCA_003712795.1,FAM4067,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGH01,milk
GCA_003712725.1,FAM22280,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGD01,milk
GCA_003712705.1,FAM22279,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKGC01,milk
GCA_003712645.1,FAM22276,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFZ01,Gruyere
GCA_003712585.1,FAM18172,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LKFU01,milk
GCA_003855655.1,LMT2-75,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,kimchi
GCA_003814325.1,NA,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,Natural whey culture from Gruyere cheese
GCA_003814305.1,NA,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,Natural whey culture from Gruyere cheese
GCA_003814285.1,NA,Lactobacillus delbrueckii subsp. lactis (firmicutes),Lactobacillus delbrueckii,,,Natural whey culture from Gruyere cheese
GCA_900248175.1,NA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,OGTX01,
GCA_900317185.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,ONFZ01,
GCA_900315725.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,ONAC01,
GCA_900315515.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,OMZH01,
GCA_900314675.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,OMWG01,
GCA_900088455.1,NA,Lactobacillus delbrueckii (firmicutes),Lactobacillus delbrueckii,,FLLT01,
GCA_900460455.1,NCTC13645,Weissella viridescens (firmicutes),Weissella viridescens,,UHIV01,not available: to be reported later
GCA_900452585.1,NCTC13644,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,UASU01,
GCA_900317435.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,ONGQ01,
GCA_900317255.1,NA,uncultured Sharpea sp. (firmicutes),uncultured Sharpea sp.,,ONGF01,
GCF_000011045.1,ATCC 53103,Lactobacillus rhamnosus GG (firmicutes),Lactobacillus rhamnosus,,,
GCF_000011985.1,NCFM,Lactobacillus acidophilus NCFM (firmicutes),Lactobacillus acidophilus,,,
GCF_000010145.1,IFO 3956,Lactobacillus fermentum IFO 3956 (firmicutes),Lactobacillus fermentum,,,
GCF_000010005.1,JCM 1112,Lactobacillus reuteri JCM 1112 (firmicutes),Lactobacillus reuteri,assembly from type material,,
GCF_000008925.1,UCC118,Lactobacillus salivarius UCC118 (firmicutes),Lactobacillus salivarius,,,
GCF_000008065.1,NCC 533,Lactobacillus johnsonii NCC 533 (firmicutes),Lactobacillus johnsonii,,,
GCF_000019245.2,Zhang,Lactobacillus casei str. Zhang (firmicutes),Lactobacillus casei,,,koumiss (fermented mare's milk)
GCF_000016825.1,DSM 20016,Lactobacillus reuteri DSM 20016 (firmicutes),Lactobacillus reuteri,assembly from type material,,
GCF_000015385.1,DPC 4571,Lactobacillus helveticus DPC 4571 (firmicutes),Lactobacillus helveticus,,,
GCF_000014525.1,ATCC 334,Lactobacillus paracasei ATCC 334 (firmicutes),Lactobacillus paracasei,,,
GCF_000014505.1,ATCC 25745,Pediococcus pentosaceus ATCC 25745 (firmicutes),Pediococcus pentosaceus,,,
GCF_000014465.1,ATCC 367,Lactobacillus brevis ATCC 367 (firmicutes),Lactobacillus brevis,,,
GCF_000014445.1,ATCC 8293,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (firmicutes),Leuconostoc mesenteroides,assembly from type material,,
GCF_000014425.1,ATCC 33323,Lactobacillus gasseri ATCC 33323 = JCM 1131 (firmicutes),Lactobacillus gasseri,assembly from type material,,
GCF_000014405.1,ATCC BAA-365,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (firmicutes),Lactobacillus delbrueckii,,,
GCF_000014385.1,PSU-1,Oenococcus oeni PSU-1 (firmicutes),Oenococcus oeni,,,
GCF_000019245.4,Zhang,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,koumiss (fermented mare's milk)
GCF_000091765.1,ST1,Lactobacillus crispatus ST1 (firmicutes),Lactobacillus crispatus,,,
GCF_000091405.1,FI9785,Lactobacillus johnsonii FI9785 (firmicutes),Lactobacillus johnsonii,,,
GCF_000056065.1,ATCC 11842,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002 (firmicutes),Lactobacillus delbrueckii,assembly from type material,,
GCF_000026525.1,Lc 705,Lactobacillus rhamnosus Lc 705 (firmicutes),Lactobacillus rhamnosus,,,
GCF_000026505.1,GG (ATCC 53103),Lactobacillus rhamnosus GG (firmicutes),Lactobacillus rhamnosus,,,
GCF_000026485.1,BL23,Lactobacillus casei BL23 (firmicutes),Lactobacillus casei,,,
GCF_000026405.1,KM20,Leuconostoc citreum KM20 (firmicutes),Leuconostoc citreum,,,
GCF_000026065.1,23K,Lactobacillus sakei subsp. sakei 23K (firmicutes),Lactobacillus sakei,,,
GCF_000023085.1,JDM1,Lactobacillus plantarum JDM1 (firmicutes),Lactobacillus plantarum,,,
GCF_000143435.1,CECT 5713,Lactobacillus salivarius CECT 5713 (firmicutes),Lactobacillus salivarius,,,
GCF_000148815.2,ST-III,Lactobacillus plantarum subsp. plantarum ST-III (firmicutes),Lactobacillus plantarum,,,
GCF_000143745.1,ATCC 14917,Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437 (firmicutes),Lactobacillus plantarum,assembly from type material,ACGZ02,missing
GCF_000143645.1,JV-V03,Lactobacillus paragasseri JV-V03 (firmicutes),Lactobacillus paragasseri,,ACGO02,missing
GCF_000149125.1,LactinV 01V1-a,Lactobacillus iners LactinV 01V1-a (firmicutes),Lactobacillus iners,,AEHQ01,missing
GCF_000149105.1,LactinV 03V1-b,Lactobacillus iners LactinV 03V1-b (firmicutes),Lactobacillus iners,,AEHP01,missing
GCF_000149085.1,LactinV 09V1-c,Lactobacillus iners LactinV 09V1-c (firmicutes),Lactobacillus iners,,AEHO01,missing
GCF_000149065.1,LactinV 11V1-d,Lactobacillus iners LactinV 11V1-d (firmicutes),Lactobacillus iners,,AEHN01,missing
GCF_000146325.1,DSM 20284,Pediococcus acidilactici DSM 20284 (firmicutes),Pediococcus acidilactici,assembly from type material,AEEG01,missing
GCF_000092505.1,IMSNU 11154,Leuconostoc kimchii IMSNU 11154 (firmicutes),Leuconostoc kimchii,assembly from type material,,
GCF_000155935.2,MV-22,Lactobacillus gasseri MV-22 (firmicutes),Lactobacillus gasseri,,ABWH02,vaginal tract
GCF_000155915.2,1153,Lactobacillus jensenii 1153 (firmicutes),Lactobacillus jensenii,,ABWG02,missing
GCF_000149145.1,SPIN 2503V10-D,Lactobacillus iners SPIN 2503V10-D (firmicutes),Lactobacillus iners,,AEHR01,missing
GCF_000159355.1,ATCC 33200,Lactobacillus johnsonii ATCC 33200 (firmicutes),Lactobacillus johnsonii,assembly from type material,ACGR01,missing
GCF_000159335.1,JV-V16,Lactobacillus jensenii JV-V16 (firmicutes),Lactobacillus jensenii,,ACGQ02,missing
GCF_000159315.1,ATCC 8290,Lactobacillus hilgardii DSM 20176 = ATCC 8290 (firmicutes),Lactobacillus hilgardii,assembly from type material,ACGP01,missing
GCF_000159215.1,ATCC 14931,Lactobacillus fermentum ATCC 14931 (firmicutes),Lactobacillus fermentum,assembly from type material,ACGI01,missing
GCF_000159195.1,ATCC 11577,Lactobacillus buchneri ATCC 11577 (firmicutes),Lactobacillus buchneri,,ACGH01,missing
GCF_000159175.1,ATCC 27305,Lactobacillus brevis subsp. gravesensis ATCC 27305 (firmicutes),Lactobacillus brevis,,ACGG01,missing
GCF_000155515.2,8700:2,Lactobacillus paracasei subsp. paracasei 8700:2 (firmicutes),Lactobacillus paracasei,,,
GCF_000159475.2,MM4-1A,Lactobacillus reuteri MM4-1A (firmicutes),Lactobacillus reuteri,,ACGX02,gastrointestinal tract
GCF_000159455.2,SD2112,Lactobacillus reuteri SD2112 (firmicutes),Lactobacillus reuteri,,,
GCF_000159375.2,ATCC 25644,Lactobacillus ruminis ATCC 25644 (firmicutes),Lactobacillus ruminis,,ACGS02,gastrointestinal tract
GCF_000160175.1,LMS2-1,Lactobacillus rhamnosus LMS2-1 (firmicutes),Lactobacillus rhamnosus,,ACIZ01,missing
GCF_000159715.1,ATCC 4796,Lactobacillus acidophilus ATCC 4796 (firmicutes),Lactobacillus acidophilus,,ACHN01,missing
GCF_000159615.1,CF48-3A,Lactobacillus reuteri CF48-3A (firmicutes),Lactobacillus reuteri,,ACHG01,missing
