	GCA_000176995.1	GCA_001046795.1	GCA_002025085.1	GCA_002311195.1	GCA_002406765.1	GCA_002418095.1	GCA_003045645.1	GCA_003045685.1	GCA_003072625.1	GCA_003433375.1	GCA_003535895.1	GCA_003666485.1	GCA_900088455.1	GCF_000014385.1	GCF_000014505.1	GCF_000091765.1	GCF_000092505.1	GCF_000146325.1	GCF_000159195.1	GCF_000159335.1	GCF_000159375.2	GCF_000159395.1	GCF_000159415.1	GCF_000159435.1	GCF_000160575.1	GCF_000160835.1	GCF_000160875.1	GCF_000161935.1	GCF_000162395.1	GCF_000165675.1	GCF_000165775.1	GCF_000166715.1	GCF_000178475.1	GCF_000179875.1	GCF_000180015.1	GCF_000182855.2	GCF_000193635.1	GCF_000211375.1	GCF_000219805.1	GCF_000235705.1	GCF_000237995.1	GCF_000241055.1	GCF_000242275.1	GCF_000247775.1	GCF_000248095.2	GCF_000260395.1	GCF_000260775.1	GCF_000271445.1	GCF_000277855.1	GCF_000296855.1	GCF_000297025.1	GCF_000300135.1	GCF_000304715.1	GCF_000312405.1	GCF_000364205.1	GCF_000389675.2	GCF_000415925.1	GCF_000420365.1	GCF_000423245.1	GCF_000423265.1	GCF_000425905.1	GCF_000469325.1	GCF_000498955.1	GCF_000504525.1	GCF_000686465.1	GCF_000691805.1	GCF_000715455.1	GCF_000740055.1	GCF_000741865.1	GCF_000750515.1	GCF_000761135.1	GCF_000785105.1	GCF_000814185.1	GCF_000814735.1	GCF_000829395.1	GCF_000831645.1	GCF_000876205.1	GCF_000962875.1	GCF_000965255.1	GCF_000967245.1	GCF_000970755.1	GCF_000970795.1	GCF_001012665.1	GCF_001027985.1	GCF_001039045.1	GCF_001047075.2	GCF_001047095.1	GCF_001047135.1	GCF_001050435.1	GCF_001050475.1	GCF_001190005.1	GCF_001281175.1	GCF_001293735.1	GCF_001308205.1	GCF_001433765.1	GCF_001433815.1	GCF_001433995.1	GCF_001434055.1	GCF_001434115.1	GCF_001434195.1	GCF_001434225.1	GCF_001434255.1	GCF_001434275.1	GCF_001434295.1	GCF_001434315.1	GCF_001434335.1	GCF_001434395.1	GCF_001434405.1	GCF_001434435.1	GCF_001434455.1	GCF_001434515.1	GCF_001434535.1	GCF_001434555.1	GCF_001434575.1	GCF_001434665.1	GCF_001434695.1	GCF_001434705.1	GCF_001434745.1	GCF_001434775.1	GCF_001434785.1	GCF_001434815.1	GCF_001434835.1	GCF_001434845.1	GCF_001434895.1	GCF_001434915.1	GCF_001434935.1	GCF_001434975.1	GCF_001434985.1	GCF_001435035.1	GCF_001435115.1	GCF_001435155.1	GCF_001435195.1	GCF_001435235.1	GCF_001435245.1	GCF_001435325.1	GCF_001435345.1	GCF_001435375.1	GCF_001435395.1	GCF_001435445.1	GCF_001435505.1	GCF_001435555.1	GCF_001435575.1	GCF_001435585.1	GCF_001435755.1	GCF_001435815.1	GCF_001435835.1	GCF_001435875.1	GCF_001435895.1	GCF_001435975.1	GCF_001435995.1	GCF_001436035.1	GCF_001436045.1	GCF_001436095.1	GCF_001436115.1	GCF_001436125.1	GCF_001436135.1	GCF_001436225.1	GCF_001436255.1	GCF_001436275.1	GCF_001436295.1	GCF_001436375.1	GCF_001436415.1	GCF_001436505.1	GCF_001436535.1	GCF_001436555.1	GCF_001436595.1	GCF_001436605.1	GCF_001436615.1	GCF_001436675.1	GCF_001436695.1	GCF_001436705.1	GCF_001436735.1	GCF_001436755.1	GCF_001436775.1	GCF_001436805.1	GCF_001436895.1	GCF_001437055.1	GCF_001437075.1	GCF_001437125.1	GCF_001437335.1	GCF_001437355.1	GCF_001437405.1	GCF_001437425.1	GCF_001437435.1	GCF_001437465.1	GCF_001437605.1	GCF_001438655.1	GCF_001438685.1	GCF_001438705.1	GCF_001438805.1	GCF_001438845.1	GCF_001636145.1	GCF_001640785.1	GCF_001652045.1	GCF_001663675.1	GCF_001761545.1	GCF_001951175.1	GCF_001971585.1	GCF_002117325.1	GCF_002157585.1	GCF_002217925.1	GCF_002217945.1	GCF_002217965.1	GCF_002240375.1	GCF_002276525.1	GCF_002583405.1	GCF_002762335.1	GCF_002872255.1	GCF_002911475.1	GCF_002916915.1	GCF_002916935.1	GCF_002940945.1	GCF_002970915.1	GCF_002970935.1	GCF_002982135.1	GCF_002993965.1	GCF_002994005.1	GCF_003096575.1	GCF_003124125.1	GCF_003151025.1	GCF_003202825.1	GCF_003363255.1	GCF_003423665.1	GCF_003515805.1	GCF_003573575.1	GCF_003606365.1	GCF_003627035.1	GCF_003692755.1	GCF_003692845.1	GCF_900094835.1	GCF_900095015.1	GCF_900108455.1	GCF_900110005.1	GCF_900112405.1	GCF_900156885.1	GCF_900215775.1	GCF_900240275.1	GCF_900258455.1	GCF_900411375.1
OG0010378			CP020016.1_1810																																																																																																																																																																																																																																												
OG0010379			CP020016.1_1840																																																																																																																																																																																																																																												
OG0010380			CP020016.1_1854																																																																																																																																																																																																																																												
OG0010381			CP020016.1_1906																																																																																																																																																																																																																																												
OG0010382			CP020016.1_1929																																																																																																																																																																																																																																												
OG0010383			CP020016.1_1998																																																																																																																																																																																																																																												
OG0010384			CP020016.1_2010																																																																																																																																																																																																																																												
OG0010385			CP020016.1_2032																																																																																																																																																																																																																																												
OG0010386			CP020016.1_2038																																																																																																																																																																																																																																												
OG0010387			CP020016.1_2040																																																																																																																																																																																																																																												
OG0010388			CP020016.1_2064																																																																																																																																																																																																																																												
OG0010389			CP020016.1_2097																																																																																																																																																																																																																																												
OG0010390			CP020016.1_2169																																																																																																																																																																																																																																												
OG0010391			CP020016.1_2178																																																																																																																																																																																																																																												
OG0010392			CP020016.1_2232																																																																																																																																																																																																																																												
OG0010393			CP020016.1_2256																																																																																																																																																																																																																																												
OG0010394			CP020016.1_2260																																																																																																																																																																																																																																												
OG0010395			CP020016.1_2261																																																																																																																																																																																																																																												
OG0010396			CP020016.1_2281																																																																																																																																																																																																																																												
OG0010397			CP020016.1_2317																																																																																																																																																																																																																																												
OG0010398			CP020016.1_2318																																																																																																																																																																																																																																												
OG0010399			CP020016.1_2320																																																																																																																																																																																																																																												
OG0010400			CP020016.1_2321																																																																																																																																																																																																																																												
OG0010401			CP020016.1_2325																																																																																																																																																																																																																																												
OG0010402			CP020016.1_2343																																																																																																																																																																																																																																												
OG0010403			CP020016.1_2357																																																																																																																																																																																																																																												
OG0010404			CP020016.1_2385																																																																																																																																																																																																																																												
OG0010405			CP020016.1_2401																																																																																																																																																																																																																																												
OG0010406			CP020016.1_2422																																																																																																																																																																																																																																												
OG0010407			CP020016.1_2431																																																																																																																																																																																																																																												
OG0010408			CP020016.1_2454																																																																																																																																																																																																																																												
OG0010409			CP020016.1_2474																																																																																																																																																																																																																																												
OG0010410			CP020016.1_2475																																																																																																																																																																																																																																												
OG0010411			CP020016.1_2477																																																																																																																																																																																																																																												
OG0010412			CP020016.1_2502																																																																																																																																																																																																																																												
OG0010413			CP020016.1_2503																																																																																																																																																																																																																																												
OG0010414			CP020016.1_2514																																																																																																																																																																																																																																												
OG0010415			CP020016.1_2567																																																																																																																																																																																																																																												
OG0010416			CP020016.1_2627																																																																																																																																																																																																																																												
OG0010417			CP020016.1_2661																																																																																																																																																																																																																																												
OG0010418			CP020016.1_2665																																																																																																																																																																																																																																												
OG0010419			CP020016.1_2679																																																																																																																																																																																																																																												
OG0010420			CP020016.1_2696																																																																																																																																																																																																																																												
OG0010421			CP020016.1_2697																																																																																																																																																																																																																																												
OG0010422			CP020016.1_2698																																																																																																																																																																																																																																												
OG0010423			CP020016.1_2702																																																																																																																																																																																																																																												
OG0010424			CP020016.1_2711																																																																																																																																																																																																																																												
OG0010425			CP020016.1_2749																																																																																																																																																																																																																																												
OG0010426			CP020016.1_2767																																																																																																																																																																																																																																												
OG0010427				DBZQ01000020.1_15																																																																																																																																																																																																																																											
OG0010428				DBZQ01000003.1_26																																																																																																																																																																																																																																											
OG0010429				DBZQ01000003.1_28																																																																																																																																																																																																																																											
OG0010430				DBZQ01000018.1_41																																																																																																																																																																																																																																											
OG0010431				DBZQ01000018.1_42																																																																																																																																																																																																																																											
OG0010432				DBZQ01000018.1_49																																																																																																																																																																																																																																											
OG0010433				DBZQ01000018.1_53																																																																																																																																																																																																																																											
OG0010434				DBZQ01000018.1_54																																																																																																																																																																																																																																											
OG0010435				DBZQ01000018.1_55																																																																																																																																																																																																																																											
OG0010436				DBZQ01000018.1_56																																																																																																																																																																																																																																											
OG0010437				DBZQ01000018.1_59																																																																																																																																																																																																																																											
OG0010438				DBZQ01000018.1_61																																																																																																																																																																																																																																											
OG0010439				DBZQ01000018.1_62																																																																																																																																																																																																																																											
OG0010440				DBZQ01000001.1_86																																																																																																																																																																																																																																											
OG0010441				DBZQ01000027.1_158																																																																																																																																																																																																																																											
OG0010442				DBZQ01000027.1_218																																																																																																																																																																																																																																											
OG0010443				DBZQ01000032.1_17																																																																																																																																																																																																																																											
OG0010444				DBZQ01000026.1_34																																																																																																																																																																																																																																											
OG0010445				DBZQ01000030.1_21																																																																																																																																																																																																																																											
OG0010446					NXET01000001.1_33																																																																																																																																																																																																																																										
OG0010447					NXET01000001.1_36																																																																																																																																																																																																																																										
OG0010448					NXET01000001.1_61																																																																																																																																																																																																																																										
OG0010449					NXET01000001.1_84																																																																																																																																																																																																																																										
OG0010450					NXET01000001.1_129																																																																																																																																																																																																																																										
OG0010451					NXET01000001.1_189																																																																																																																																																																																																																																										
OG0010452					NXET01000010.1_61																																																																																																																																																																																																																																										
OG0010453					NXET01000010.1_67																																																																																																																																																																																																																																										
OG0010454					NXET01000010.1_73																																																																																																																																																																																																																																										
OG0010455					NXET01000011.1_22																																																																																																																																																																																																																																										
OG0010456					NXET01000011.1_25																																																																																																																																																																																																																																										
